time,val_1,val_2

106,20.70,20.60

107,20.70,20.60

108,20.70,20.58

109,20.70,20.56

110,20.70,20.56

111,20.70,20.56

112,20.70,20.56

113,20.70,20.56

114,20.70,20.57

115,20.70,20.55

116,20.70,20.55

117,20.70,20.54

118,20.70,20.56

119,20.70,20.58

120,20.70,20.59

121,20.70,20.57

122,20.70,20.57

123,20.70,20.57

124,20.70,20.57

125,20.70,20.56

126,20.70,20.56

127,20.70,20.57

128,20.70,20.58

129,20.70,20.57

130,20.70,20.57

131,20.70,20.58

132,20.70,20.59

133,20.70,20.57

134,20.70,20.54

135,20.70,20.55

136,20.70,20.53

137,20.70,20.54

138,20.70,20.53

139,20.70,20.51

140,20.70,20.51

141,20.70,20.53

142,20.70,20.53

143,20.70,20.55

144,20.70,20.57

145,20.70,20.57

146,20.70,20.57

147,20.70,20.58

148,20.70,20.58

149,20.70,20.60

150,20.70,20.60

151,20.70,20.58

152,20.70,20.57

153,20.70,20.55

154,20.70,20.56

155,20.70,20.55

156,20.70,20.58

157,20.70,20.58

158,20.70,20.59

159,20.70,20.57

160,20.70,20.57

161,20.70,20.56

162,20.70,20.56

163,20.70,20.58

164,20.70,20.59

165,20.70,20.60

166,20.70,20.58

167,20.70,20.58

168,20.70,20.56

169,20.70,20.55

170,20.70,20.54

171,20.70,20.55

172,20.70,20.56

173,20.70,20.54

174,20.70,20.53

175,20.70,20.54

176,20.70,20.55

177,20.70,20.55

178,20.70,20.57

179,20.70,20.59

180,20.70,20.59

181,20.70,20.58

182,20.70,20.59

183,20.70,20.60

184,20.70,20.60

185,20.70,20.60

186,20.70,20.58

187,20.70,20.57

188,20.70,20.56

189,20.70,20.56

190,20.70,20.57

191,20.70,20.56

192,20.70,20.60

193,20.70,20.59

194,20.70,20.60

195,20.70,20.60

196,20.70,20.62

197,20.70,20.65

198,20.70,20.68

199,20.70,20.68

200,20.70,20.69

201,20.70,20.70

202,20.70,20.66

203,20.70,20.66

204,20.70,20.63

205,20.70,20.62

206,20.70,20.59

207,20.70,20.57

208,20.70,20.56

209,20.70,20.53

210,20.70,20.52

211,20.70,20.53

212,20.70,20.52

213,20.70,20.54

214,20.70,20.57

215,20.70,20.57

216,20.70,20.59

217,20.70,20.59

218,20.70,20.59

219,20.70,20.58

220,20.70,20.58

221,20.70,20.59

222,20.70,20.59

223,20.70,20.60

224,20.70,20.58

225,20.70,20.58

226,20.70,20.56

227,20.70,20.54

228,20.70,20.56

229,20.70,20.59

230,20.70,20.59

231,20.70,20.58

232,20.70,20.57

233,20.70,20.58

234,20.70,20.58

235,20.70,20.60

236,20.70,20.60

237,20.70,20.64

238,20.70,20.63

239,20.70,20.62

240,20.70,20.64

241,20.70,20.64

242,20.70,20.64

243,20.70,20.60

244,20.70,20.60

245,20.70,20.59

246,20.70,20.58

247,20.70,20.56

248,20.70,20.54

249,20.70,20.55

250,20.70,20.55

251,20.70,20.52

252,20.70,20.54

253,20.70,20.56

254,20.70,20.58

255,20.70,20.58

256,20.70,20.62

257,20.70,20.63

258,20.70,20.65

259,20.70,20.65

260,20.70,20.63

261,20.70,20.65

262,20.70,20.64

263,20.70,20.62

264,20.70,20.62

265,20.70,20.62

266,20.70,20.60

267,20.70,20.60

268,20.70,20.60

269,20.70,20.60

270,20.70,20.61

271,20.70,20.61

272,20.70,20.63

273,20.70,20.64

274,20.70,20.65

275,20.70,20.63

276,20.70,20.62

277,20.70,20.62

278,20.70,20.62

279,20.70,20.60

280,20.70,20.61

281,20.70,20.59

282,20.70,20.59

283,20.70,20.58

284,20.70,20.58

285,20.70,20.62

286,20.70,20.60

287,20.70,20.62

288,20.70,20.58

289,20.70,20.58

