time,val_1,val_2

214,20.70,20.87

215,20.70,20.88

216,20.70,20.88

217,20.70,20.88

218,20.70,20.91

219,20.70,20.91

220,20.70,20.90

221,20.70,20.92

222,20.70,20.93

223,20.70,20.93

224,20.70,20.93

225,20.70,20.95

226,20.70,20.96

227,20.70,20.94

228,20.70,20.92

229,20.70,20.91

230,20.70,20.92

231,20.70,20.94

232,20.70,20.97

233,20.70,20.97

234,20.70,20.97

235,20.70,20.97

236,20.70,20.98

237,20.70,21.00

238,20.70,21.01

239,20.70,21.04

240,20.70,21.01

241,20.70,21.00

242,20.70,20.99

243,20.70,20.98

244,20.70,20.98

245,20.70,20.95

246,20.70,20.94

247,20.70,20.91

248,20.70,20.90

249,20.70,20.88

250,20.70,20.92

251,20.70,20.92

252,20.70,20.91

253,20.70,20.93

254,20.70,20.95

255,20.70,20.98

256,20.70,20.99

257,20.70,21.01

258,20.70,21.01

259,20.70,21.01

260,20.70,21.00

261,20.70,21.01

262,20.70,21.01

263,20.70,20.99

264,20.70,20.98

265,20.70,20.97

266,20.70,20.97

267,20.70,20.98

268,20.70,20.98

269,20.70,20.98

270,20.70,20.96

271,20.70,20.96

272,20.70,20.98

273,20.70,20.99

274,20.70,20.99

275,20.70,20.99

276,20.70,20.98

277,20.70,20.99

278,20.70,20.98

279,20.70,20.98

280,20.70,21.02

281,20.70,20.98

282,20.70,20.95

283,20.70,20.95

284,20.70,20.97

285,20.70,20.96

286,20.70,20.98

287,20.70,20.94

288,20.70,20.95

289,20.70,20.96

290,20.70,20.95

