time,val_1,val_2
108,17.80,17.32

109,17.80,17.25

110,17.80,17.16

111,17.80,17.09

112,17.80,17.03

113,17.40,16.95

114,17.40,16.90

115,17.40,16.85

116,17.40,16.80

117,17.40,16.75

118,17.40,16.72

119,17.10,16.66

120,17.10,16.63

121,17.10,16.59

122,17.10,16.58

123,17.10,16.55

124,17.10,16.51

125,16.80,16.48

126,16.80,16.47

127,16.80,16.44

128,16.80,16.39

129,16.80,16.37

130,16.80,16.34

131,16.60,16.32

132,16.60,16.27

133,16.60,16.24

134,16.60,16.23

135,16.60,16.22

136,16.60,16.19

137,16.60,16.18

138,16.50,16.16

139,16.50,16.14

140,16.50,16.14

141,16.50,16.13

142,16.50,16.13

143,16.50,16.12

144,16.40,16.10

145,16.40,16.07

146,16.40,16.05

147,16.40,16.05

148,16.40,16.05

149,16.40,16.04

150,16.30,16.00

151,16.30,15.99

152,16.30,15.97

153,16.30,15.96

154,16.30,15.92

155,16.30,15.92

156,16.20,15.91

157,16.20,15.89

158,16.20,15.87

159,16.20,15.85

160,16.20,15.87

161,16.20,15.85

162,16.10,15.84

163,16.10,15.85

164,16.10,15.87

165,16.10,15.86

166,16.10,15.84

167,16.10,15.83

168,16.10,15.83

169,16.10,15.84

170,16.10,15.82

171,16.10,15.81

172,16.10,15.80

173,16.10,15.77

174,16.10,15.77

175,16.00,15.76

176,16.00,15.76

177,16.00,15.74

178,16.00,15.74

179,16.00,15.75

180,16.00,15.76

181,16.00,15.76

182,16.00,15.78

183,16.00,15.78

184,16.00,15.80

185,16.00,15.81

186,16.00,15.82

187,16.00,15.82

188,16.00,15.82

189,16.00,15.81

190,16.00,15.81

191,16.00,15.81

192,16.00,15.80

193,16.00,15.79

194,16.00,15.77

195,16.00,15.76

196,16.00,15.75

197,16.00,15.74

198,16.00,15.75

199,15.90,15.74

200,15.90,15.73

201,15.90,15.73

202,15.90,15.74

203,15.90,15.75

204,15.90,15.74

205,15.90,15.73

206,15.90,15.73

207,15.90,15.74

208,15.90,15.74

209,15.90,15.74

210,15.90,15.74

211,15.90,15.73

212,15.90,15.72

213,15.90,15.71

214,15.90,15.71

215,15.90,15.72

216,15.90,15.71

217,15.90,15.71

218,15.90,15.71

219,15.90,15.73

220,15.90,15.75

221,15.90,15.75

222,15.90,15.75

223,15.90,15.76

224,15.90,15.75

225,15.90,15.73

226,15.90,15.74

227,15.90,15.72

228,15.90,15.72

229,15.90,15.71

230,15.90,15.70

231,15.90,15.71

232,15.90,15.72

233,15.90,15.69

234,15.90,15.71

235,15.90,15.72

236,15.90,15.71

237,15.90,15.71

238,15.90,15.70

239,15.90,15.70

240,15.90,15.68

241,15.90,15.67

242,15.90,15.66

243,15.90,15.67

244,15.90,15.67

245,15.90,15.68

246,15.90,15.70

247,15.90,15.70

248,15.90,15.71

249,15.90,15.70

250,15.90,15.71

251,15.90,15.73

252,15.90,15.73

253,15.90,15.73

254,15.90,15.72

255,15.80,15.73

256,15.80,15.73

257,15.80,15.73

258,15.80,15.73

259,15.80,15.73

260,15.80,15.72

261,15.80,15.71

262,15.80,15.72

263,15.80,15.73

264,15.80,15.72

265,15.80,15.70

266,15.80,15.69

267,15.90,15.70

268,15.90,15.70

269,15.90,15.69

270,15.90,15.69

271,15.90,15.69

272,15.90,15.67

273,15.90,15.68

274,15.90,15.68

275,15.90,15.69

276,15.90,15.69

277,15.90,15.68

278,15.90,15.66

279,15.80,15.66

280,15.80,15.67

281,15.80,15.69

282,15.80,15.70

283,15.80,15.68

284,15.80,15.67

285,15.80,15.67

286,15.80,15.69

287,15.80,15.69

288,15.80,15.68

289,15.80,15.69

290,15.80,15.68

291,15.80,15.67

292,15.80,15.65

293,15.80,15.68

294,15.80,15.68

295,15.80,15.69

296,15.80,15.67

297,15.80,15.67

298,15.80,15.68

299,15.80,15.68

300,15.80,15.68

301,15.80,15.68

302,15.80,15.68

303,15.80,15.67

304,15.80,15.68

305,15.80,15.68

306,15.80,15.68

307,15.80,15.68

308,15.80,15.68

309,15.80,15.69

310,15.80,15.70

311,15.80,15.69

312,15.80,15.69

313,15.80,15.68

314,15.80,15.69

315,15.80,15.67

316,15.80,15.66

317,15.80,15.66

318,15.80,15.68

319,15.80,15.66

320,15.80,15.65

321,15.80,15.66

322,15.80,15.66

323,15.80,15.68

324,15.80,15.66

325,15.80,15.69

326,15.80,15.69

327,15.80,15.71

328,15.80,15.70

329,15.80,15.71

330,15.80,15.71

331,15.80,15.71

332,15.80,15.70

333,15.80,15.70

334,15.80,15.70

335,15.80,15.70

336,15.80,15.69

337,15.80,15.67

338,15.80,15.67

339,15.80,15.66

340,15.80,15.67

341,15.80,15.67

342,15.80,15.68

343,15.80,15.67

344,15.80,15.71

345,15.80,15.70

346,15.80,15.71

347,15.80,15.71

348,15.80,15.71

349,15.80,15.69

350,15.80,15.70

351,15.80,15.71

352,15.80,15.70

353,15.80,15.70

354,15.80,15.66

355,15.80,15.66

356,15.80,15.67

357,15.80,15.69

358,15.80,15.71

359,15.80,15.72

360,15.80,15.71

361,15.80,15.71

362,15.80,15.71

363,15.80,15.70

364,15.80,15.70

365,15.80,15.72

